name,photo,qualification,work_experience,current_position,current_employer,field_of_expertise,skills,average_rating
George Stephens,https://dummyimage.com/133x604,MBA,36,Senior Product Manager,Rodriguez-Walker,Market Analysis,"Product Roadmap, User Experience, Stakeholder Management, Agile, Project Management",4.0
Katherine Frost,https://dummyimage.com/456x880,MSc in Network Engineering,10,Principal Network Engineer,Dunn Ltd,Network Security,"Network Design, Network Security, Wireless Networking, TCP/IP, Firewall Configuration",3.4
Morgan Nash,https://dummyimage.com/532x562,BSc in Computer Science,24,Principal Mobile App Developer,Hanson LLC,Mobile App Development,"Java, Flutter, Swift, React Native, Kotlin",4.1
Nicole Garner,https://picsum.photos/6/587,MSc in Data Engineering,15,Principal Data Engineer,"Jones, Rivers and Fernandez",Big Data,"ETL, Data Warehousing, Database Management, Data Pipeline Development, Hadoop",2.7
Steven Tapia,https://placekitten.com/541/64,BSc in Cybersecurity,29,Senior Cybersecurity Analyst,"Goodman, Owen and Blankenship",Cybersecurity,"Cryptography, Penetration Testing, Incident Response, Vulnerability Assessment, Security Information and Event Management (SIEM)",4.5
Andres Ray,https://dummyimage.com/932x291,MSc in Computer Science,9,Senior Backend Developer,Rios-Mathis,Backend Development,"NoSQL Databases, Python, REST APIs, SQL, Java",1.4
Anita Porter,https://dummyimage.com/321x789,MSc in Blockchain Technology,35,Principal Blockchain Developer,Dyer-Mcdonald,Decentralized Applications (DApps),"Blockchain Development, Ethereum, Smart Contracts, Solidity, Distributed Systems",2.8
Brenda Wright,https://picsum.photos/922/614,BSc in Cybersecurity,19,Principal Cybersecurity Specialist,"Frost, Stevens and Munoz",Threat Intelligence,"Vulnerability Assessment, Network Security, Firewall Management, Penetration Testing, Security Information and Event Management (SIEM)",1.1
Barry Brown,https://placekitten.com/652/282,MSc in Blockchain Technology,40,Senior Blockchain Engineer,Kennedy LLC,Decentralized Applications (DApps),"Blockchain Development, Solidity, Cryptography, Bitcoin, Ethereum",1.3
Daniel Clark,https://picsum.photos/809/691,BSc in Information Technology,6,Frontend Developer,"Tanner, Martin and Flynn",Responsive Design,"React, CSS, HTML, Vue.js, Angular",4.7
Sherry Garcia,https://picsum.photos/822/43,MSc in Data Science,18,Data Scientist,Lewis-Gutierrez,Data Science,"Python, Statistics, R, Data Mining, Machine Learning",3.2
Alex Mason,https://placekitten.com/678/845,BSc in Information Systems,16,Senior Systems Analyst,"Hayden, Sanchez and Jones",Process Improvement,"System Analysis, System Integration, Database Management, Business Analysis, Requirements Gathering",3.1
Danielle Paul,https://picsum.photos/239/120,MBA,32,Senior Product Manager,"Evans, Contreras and Hutchinson",Market Analysis,"Agile, Scrum, User Experience, Market Research, Project Management",3.9
John Buckley,https://placekitten.com/108/538,MSc in Network Engineering,1,Senior Network Engineer,"Smith, James and Rivers",Network Security,"Network Security, LAN/WAN, TCP/IP, VPN, Network Design",2.3
Mrs. Ann Hart,https://picsum.photos/354/504,MSc in Computer Science,21,Principal Mobile App Developer,"Moss, Holmes and Aguilar",Android Development,"Swift, Mobile UI Design, React Native, Cross-Platform Development, Flutter",1.4
Logan Lopez,https://dummyimage.com/267x865,BSc in Cybersecurity,3,Cybersecurity Expert,Scott-Powell,Threat Intelligence,"Penetration Testing, Incident Response, Cryptography, Ethical Hacking, Security Information and Event Management (SIEM)",3.0
Christina Smith,https://picsum.photos/465/517,BSc in Computer Science,7,Principal Mobile App Developer,Cherry-Rodriguez,Android Development,"Java, React Native, Mobile UI Design, Flutter, iOS Development",3.7
Lisa Hayes,https://picsum.photos/653/196,MSc in Computer Science,25,Senior Backend Developer,Wilson Group,Backend Development,"NoSQL Databases, Backend Development, Python, REST APIs, Java",2.9
Julie Perkins,https://picsum.photos/934/113,BSc in Computer Science,20,Principal Full Stack Developer,Price PLC,Web Development,"Angular, JavaScript, REST APIs, React, Node.js",3.5
Jessica Gutierrez,https://dummyimage.com/572x21,BSc in Computer Science,5,Frontend Developer,Lester-Beck,Web Development,"UI/UX Design, HTML, CSS, Vue.js, Responsive Design",2.3
Michael Williams,https://dummyimage.com/239x136,BSc in Computer Science,29,Principal Frontend Developer,"Williams, Curry and Johnson",Web Development,"UI/UX Design, HTML, Vue.js, CSS, React",2.7
Jonathan Benson,https://placekitten.com/903/789,MSc in Computer Science,35,Lead Software Developer,Ramos-Welch,Database Systems,"C++, Java, Debugging, Software Design, Database Management",1.4
Spencer Solomon,https://placekitten.com/215/641,BSc in Computer Science,40,Principal Full Stack Developer,Reed-Brown,Web Development,"SQL, REST APIs, JavaScript, CSS, React",3.1
Sarah Jones,https://dummyimage.com/679x520,MSc in Network Engineering,23,Network Engineer,"Garrett, Walker and Copeland",Network Administration,"Cisco, Wireless Networking, TCP/IP, LAN/WAN, VPN",4.9
Michael Campbell,https://picsum.photos/506/932,MBA,19,Product Manager,"Hill, Sullivan and Stewart",User Experience,"Stakeholder Management, Agile, User Experience, Project Management, Market Research",5.0
Natalie Harrison,https://placekitten.com/466/586,MSc in Information Systems,6,Senior Systems Analyst,Lee and Sons,Process Improvement,"Process Improvement, Database Management, UML, Business Analysis, System Analysis",2.4
William Gibson,https://picsum.photos/1010/259,MSc in Information Systems,10,Systems Analyst,Lloyd-Flores,Process Improvement,"System Integration, Process Improvement, Technical Documentation, System Analysis, UML",2.1
Christopher Lee,https://placekitten.com/785/781,BSc in Computer Science,25,Principal Frontend Developer,Mitchell-James,Web Development,"Responsive Design, HTML, JavaScript, React, CSS",1.9
Carolyn Johnson,https://placekitten.com/757/513,MSc in Data Engineering,40,Principal Data Engineer,Carter LLC,Data Engineering,"Data Pipeline Development, Python, ETL, Big Data, SQL",3.2
Kimberly Hurley,https://placekitten.com/401/454,BSc in Data Engineering,15,Principal Data Engineer,Flores LLC,Data Pipeline Development,"Big Data, Data Pipeline Development, Apache Spark, Hadoop, ETL",3.3
Tanya Williams,https://placekitten.com/214/288,BSc in Data Engineering,33,Data Engineer,Sanchez Ltd,Big Data,"Python, Apache Spark, SQL, Data Pipeline Development, Database Management",1.1
Eugene Patel,https://picsum.photos/458/620,BSc in Computer Science,16,Blockchain Developer,Hudson-Kirk,Smart Contracts,"Hyperledger, Bitcoin, Blockchain Development, Solidity, Consensus Algorithms",3.2
Frederick Kim,https://placekitten.com/74/385,BSc in Network Engineering,38,Network Engineer,"Leach, Gibson and Montoya",Network Administration,"TCP/IP, VPN, Network Troubleshooting, Network Design, Network Security",3.3
Amy Taylor,https://dummyimage.com/333x821,BSc in Information Systems,34,Systems Analyst,"Frederick, Thompson and Martin",Business Analysis,"Technical Documentation, Business Analysis, UML, System Analysis, Database Management",4.4
Mary Drake,https://placekitten.com/866/918,BSc in Cybersecurity,38,Principal Cybersecurity Specialist,Rogers Inc,Incident Response,"Firewall Management, Ethical Hacking, Penetration Testing, Incident Response, Cryptography",2.0
Austin Kelley,https://dummyimage.com/233x323,PhD in Computer Science,20,Principal AI Researcher,"Wise, Miller and Davis",Computer Vision,"Algorithm Development, PyTorch, Computer Vision, TensorFlow, Natural Language Processing",2.6
Brandi Sanders,https://dummyimage.com/888x962,BSc in Data Engineering,30,Senior Data Engineer,Robertson Ltd,Big Data,"Data Pipeline Development, Data Warehousing, Big Data, Hadoop, Database Management",2.6
Sarah Valdez,https://dummyimage.com/78x261,MSc in Blockchain Technology,38,Senior Blockchain Engineer,Thompson and Sons,Smart Contracts,"Hyperledger, Solidity, Ethereum, Distributed Systems, Consensus Algorithms",3.3
Tiffany Moore DVM,https://picsum.photos/57/620,BSc in Information Systems,33,Systems Analyst,"Williams, Richardson and Davis",Systems Analysis,"Business Analysis, System Analysis, UML, System Integration, Technical Documentation",2.0
Tony Smith,https://dummyimage.com/149x562,MSc in Information Technology,36,DevOps Engineer,Cruz and Sons,Infrastructure as Code,"Ansible, Azure, CI/CD, AWS, Linux",3.0
Marcus Pierce,https://dummyimage.com/471x772,BSc in Business Administration,16,Product Manager,Steele Group,User Experience,"Project Management, Scrum, Product Roadmap, Agile, Stakeholder Management",4.7
Carmen Neal MD,https://dummyimage.com/230x249,PhD in Computer Science,37,AI Researcher,Murphy-Jackson,Natural Language Processing,"Reinforcement Learning, Computer Vision, Python, PyTorch, Deep Learning",3.7
Rebecca Valencia,https://placekitten.com/381/855,PhD in Computer Science,36,Principal AI Researcher,King-Thomas,Computer Vision,"PyTorch, Natural Language Processing, Algorithm Development, Computer Vision, Python",2.8
Rodney Stevens,https://dummyimage.com/406x141,BSc in Computer Science,19,Full Stack Developer,Day Inc,API Development,"REST APIs, Full Stack Development, SQL, JavaScript, React",2.6
Nicholas Bailey,https://placekitten.com/427/571,MSc in Information Systems,22,Systems Analyst,Stewart Group,Business Analysis,"Process Improvement, System Analysis, Business Analysis, UML, Requirements Gathering",3.7
Stephen Jones,https://placekitten.com/824/689,MSc in Computer Science,37,Senior Software Engineer,Sullivan-Brown,Cloud Computing,"Python, Database Management, Software Design, API Development, C++",2.2
Kathleen Martinez,https://picsum.photos/718/636,MSc in Cybersecurity,17,Senior Cybersecurity Analyst,"Mitchell, Wilson and Vazquez",Cybersecurity,"Ethical Hacking, Incident Response, Vulnerability Assessment, Cryptography, Penetration Testing",2.3
Joseph Snow,https://dummyimage.com/593x667,MSc in Data Science,20,Senior Data Scientist,Sandoval-Hart,Data Science,"R, SQL, Machine Learning, Python, Data Mining",2.8
Mrs. Vanessa Mcdaniel,https://dummyimage.com/201x365,BSc in Business Administration,27,Principal Product Manager,"Burgess, Barrera and Ellison",Product Management,"Project Management, Stakeholder Management, Agile, Product Roadmap, Market Research",4.9
Kimberly Combs,https://dummyimage.com/1012x900,PhD in Computer Science,32,Principal AI Researcher,Young LLC,Deep Learning,"PyTorch, Computer Vision, Reinforcement Learning, TensorFlow, Machine Learning",2.9
Jessica Rosales,https://dummyimage.com/673x347,MSc in Network Engineering,8,Network Engineer,Massey Inc,Networking,"Wireless Networking, Network Troubleshooting, Network Security, VPN, LAN/WAN",4.1
George Aguilar,https://dummyimage.com/249x288,MSc in Information Systems,22,Principal Systems Analyst,Hawkins Ltd,Systems Analysis,"Requirements Gathering, Database Management, Technical Documentation, Process Improvement, System Integration",3.6
Lisa Moyer,https://picsum.photos/878/500,BSc in Network Engineering,34,Network Engineer,"Jackson, Simmons and Proctor",Network Design,"VPN, Network Design, Network Security, Wireless Networking, Network Troubleshooting",3.7
Chad Oconnell,https://picsum.photos/682/618,MSc in Information Systems,38,Principal Systems Analyst,Lewis-Morgan,Process Improvement,"UML, Database Management, System Analysis, Requirements Gathering, Business Analysis",3.5
Jonathan Knight,https://picsum.photos/960/444,MSc in Data Engineering,3,Senior Data Engineer,Martin Inc,Data Engineering,"SQL, Database Management, Python, Data Warehousing, Apache Spark",4.8
Joseph Nguyen,https://dummyimage.com/506x841,BSc in Information Technology,38,Principal Frontend Developer,Rodriguez-Martinez,Frontend Development,"JavaScript, Responsive Design, HTML, React, CSS",2.5
Eric Hardy,https://placekitten.com/353/824,MSc in Information Technology,3,Senior DevOps Engineer,Hubbard Ltd,Automation,"Terraform, Shell Scripting, Docker, Linux, Kubernetes",3.0
Kathy Benitez,https://placekitten.com/901/735,BSc in Computer Science,3,Full Stack Developer,Ramos-Miller,API Development,"HTML, Full Stack Development, Angular, Node.js, SQL",2.0
Debra Mcdonald,https://picsum.photos/331/348,BSc in Computer Science,31,Principal Backend Developer,Torres-Hebert,Database Management,"NoSQL Databases, Node.js, Backend Development, Go, REST APIs",2.4
Dr. Debra Johnson,https://dummyimage.com/24x64,PhD in Data Science,5,Data Scientist,Cordova-Wells,Predictive Analytics,"SQL, Big Data, R, Python, Natural Language Processing",1.4
Kathryn Herrera,https://picsum.photos/936/411,MBA,8,Senior Product Manager,Arnold-Chase,Agile Development,"Project Management, Agile, Stakeholder Management, User Experience, Product Lifecycle Management",2.5
Megan Williams,https://dummyimage.com/142x192,MBA,28,Principal Product Manager,Kim-Watson,Market Analysis,"Product Roadmap, Scrum, Project Management, User Experience, Market Research",3.3
Stephanie Terry,https://dummyimage.com/380x87,BSc in Computer Science,23,Full Stack Developer,Martin LLC,Web Development,"Node.js, JavaScript, SQL, HTML, React",2.5
Kelly Davis,https://placekitten.com/210/1022,MSc in Data Science,15,Senior Data Scientist,Huerta-Moss,Data Science,"Natural Language Processing, Data Mining, Python, Big Data, Machine Learning",2.3
Melanie Romero,https://dummyimage.com/64x910,BSc in Data Engineering,31,Data Engineer,Freeman-Ross,Data Pipeline Development,"Hadoop, Database Management, Data Warehousing, ETL, Python",1.4
Tina Chung,https://placekitten.com/820/621,PhD in Computer Science,33,Principal AI Researcher,Douglas-Ochoa,Computer Vision,"Reinforcement Learning, Deep Learning, Natural Language Processing, Algorithm Development, Computer Vision",4.1
Charles Harrison,https://dummyimage.com/901x342,MSc in Computer Science,24,Backend Developer,Clark and Sons,Microservices Architecture,"Backend Development, SQL, NoSQL Databases, Python, Node.js",4.6
Barbara Munoz,https://placekitten.com/192/976,PhD in Data Science,9,Principal Data Scientist,Walter-Roberts,Machine Learning,"Data Mining, R, Big Data, Natural Language Processing, Machine Learning",3.5
Kim Wilcox,https://picsum.photos/464/757,BSc in Network Engineering,39,Principal Network Engineer,Bradford Inc,Network Administration,"Cisco, LAN/WAN, Network Design, TCP/IP, Network Security",2.9
Mary Jordan,https://placekitten.com/479/693,MSc in Data Science,16,Principal Data Scientist,Cook-Mcdaniel,Data Science,"R, Python, Data Mining, SQL, Statistics",1.4
Marcus Johnson,https://placekitten.com/357/761,MSc in Computer Science,1,Principal Product Manager,Becker-Fields,User Experience,"Product Lifecycle Management, Agile, Stakeholder Management, Project Management, Market Research",5.0
Joshua Caldwell,https://dummyimage.com/794x119,MSc in Data Science,10,Senior Data Scientist,Bennett-Meyer,Big Data,"Machine Learning, SQL, Natural Language Processing, R, Data Mining",3.1
Cynthia Travis,https://picsum.photos/145/644,PhD in Artificial Intelligence,26,AI Researcher,Hood-Gonzalez,Artificial Intelligence,"Deep Learning, PyTorch, Natural Language Processing, TensorFlow, Computer Vision",3.9
